Latitude,Longitude,Elevation,LatitudeID,LongitudeID
47.04986054031308,20.849860307576858,79.8,14,48
47.04986054031308,20.94986030717681,79.8,14,49
47.04986054031308,21.049860306776754,81.2,14,50
47.04986054031308,21.149860306376706,83.2,14,51
47.04986054031308,21.24986030597665,85.2,14,52
47.04986054031308,21.349860305576602,85.4,14,53
47.04986054031308,21.449860305176554,86.4,14,54
47.04986054031308,21.549860304776498,89.0,14,55
47.04986054031308,21.64986030437645,93.8,14,56
47.149860539995736,16.44986032517912,241.0,15,4
47.149860539995736,16.549860324779065,236.8,15,5
47.149860539995736,16.649860324379016,194.0,15,6
47.149860539995736,16.74986032397896,183.2,15,7
47.149860539995736,16.849860323578913,170.2,15,8
47.149860539995736,16.949860323178864,204.6,15,9
47.149860539995736,17.04986032277881,173.0,15,10
47.149860539995736,17.14986032237876,155.2,15,11
47.149860539995736,17.249860321978705,135.6,15,12
47.149860539995736,17.349860321578657,156.2,15,13
47.149860539995736,17.4498603211786,195.6,15,14
47.149860539995736,17.549860320778553,265.6,15,15
47.149860539995736,17.649860320378504,368.6,15,16
47.149860539995736,17.74986031997845,414.8,15,17
47.149860539995736,17.8498603195784,330.0,15,18
47.149860539995736,17.949860319178345,256.8,15,19
47.149860539995736,18.049860318778297,191.6,15,20
47.149860539995736,18.14986031837824,132.0,15,21
47.149860539995736,18.249860317978193,135.0,15,22
47.149860539995736,18.349860317578145,127.2,15,23
47.149860539995736,18.44986031717809,120.4,15,24
47.149860539995736,18.54986031677804,115.2,15,25
47.149860539995736,18.649860316377985,131.0,15,26
47.149860539995736,18.749860315977937,118.4,15,27
47.149860539995736,18.84986031557789,97.0,15,28
47.149860539995736,18.949860315177833,95.2,15,29
47.149860539995736,19.049860314777785,94.0,15,30
47.149860539995736,19.14986031437773,92.6,15,31
47.149860539995736,19.24986031397768,93.8,15,32
47.149860539995736,19.349860313577626,108.4,15,33
47.149860539995736,19.449860313177577,124.2,15,34
47.149860539995736,19.54986031277753,140.6,15,35
47.149860539995736,19.649860312377474,132.0,15,36
47.149860539995736,19.749860311977425,112.8,15,37
47.149860539995736,19.84986031157737,96.8,15,38
47.149860539995736,19.94986031117732,89.6,15,39
47.149860539995736,20.049860310777266,84.8,15,40
47.149860539995736,20.149860310377218,83.6,15,41
47.149860539995736,20.24986030997717,81.8,15,42
47.149860539995736,20.349860309577114,83.6,15,43
47.149860539995736,20.449860309177065,83.0,15,44
47.149860539995736,20.54986030877701,82.8,15,45
47.149860539995736,20.64986030837696,81.6,15,46
47.149860539995736,20.749860307976906,81.8,15,47
47.149860539995736,20.849860307576858,80.2,15,48
47.149860539995736,20.94986030717681,79.6,15,49
47.149860539995736,21.049860306776754,81.4,15,50
47.149860539995736,21.149860306376706,83.2,15,51
47.149860539995736,21.24986030597665,85.2,15,52
47.149860539995736,21.349860305576602,86.8,15,53
47.149860539995736,21.449860305176554,88.6,15,54
47.149860539995736,21.549860304776498,89.6,15,55
47.149860539995736,21.64986030437645,92.6,15,56
47.149860539995736,21.749860303976394,96.4,15,57
47.249860539678394,16.44986032517912,271.2,16,4
47.249860539678394,16.549860324779065,245.0,16,5
47.249860539678394,16.649860324379016,210.0,16,6
47.249860539678394,16.74986032397896,192.4,16,7
47.249860539678394,16.849860323578913,165.6,16,8
47.249860539678394,16.949860323178864,171.0,16,9
47.249860539678394,17.04986032277881,157.6,16,10
47.249860539678394,17.14986032237876,132.0,16,11
47.249860539678394,17.249860321978705,131.8,16,12
47.249860539678394,17.349860321578657,142.4,16,13
47.249860539678394,17.4498603211786,172.0,16,14
47.249860539678394,17.549860320778553,245.4,16,15
47.249860539678394,17.649860320378504,387.2,16,16
47.249860539678394,17.74986031997845,506.4,16,17
47.249860539678394,17.8498603195784,459.6,16,18
47.249860539678394,17.949860319178345,397.6,16,19
47.249860539678394,18.049860318778297,357.6,16,20
47.249860539678394,18.14986031837824,270.2,16,21
47.249860539678394,18.249860317978193,174.2,16,22
47.249860539678394,18.349860317578145,142.0,16,23
47.249860539678394,18.44986031717809,162.6,16,24
47.249860539678394,18.54986031677804,156.6,16,25
47.249860539678394,18.649860316377985,147.6,16,26
47.249860539678394,18.749860315977937,115.2,16,27
47.249860539678394,18.84986031557789,112.0,16,28
47.249860539678394,18.949860315177833,103.2,16,29
47.249860539678394,19.049860314777785,97.4,16,30
47.249860539678394,19.14986031437773,94.2,16,31
47.249860539678394,19.24986031397768,99.6,16,32
47.249860539678394,19.349860313577626,111.2,16,33
47.249860539678394,19.449860313177577,125.8,16,34
47.249860539678394,19.54986031277753,135.8,16,35
47.249860539678394,19.649860312377474,146.0,16,36
47.249860539678394,19.749860311977425,109.4,16,37
47.249860539678394,19.84986031157737,93.8,16,38
47.249860539678394,19.94986031117732,90.0,16,39
47.249860539678394,20.049860310777266,85.0,16,40
47.249860539678394,20.149860310377218,82.0,16,41
47.249860539678394,20.24986030997717,83.4,16,42
47.249860539678394,20.349860309577114,84.0,16,43
47.249860539678394,20.449860309177065,79.8,16,44
47.249860539678394,20.54986030877701,82.0,16,45
47.249860539678394,20.64986030837696,82.4,16,46
47.249860539678394,20.749860307976906,82.4,16,47
47.249860539678394,20.849860307576858,81.6,16,48
47.249860539678394,20.94986030717681,81.4,16,49
47.249860539678394,21.049860306776754,83.0,16,50
47.249860539678394,21.149860306376706,84.0,16,51
47.249860539678394,21.24986030597665,85.4,16,52
47.249860539678394,21.349860305576602,85.4,16,53
47.249860539678394,21.449860305176554,90.2,16,54
47.249860539678394,21.549860304776498,91.4,16,55
47.249860539678394,21.64986030437645,93.8,16,56
47.249860539678394,21.749860303976394,95.6,16,57
47.249860539678394,21.849860303576346,100.6,16,58
47.349860539361046,16.44986032517912,513.8,17,4
47.349860539361046,16.549860324779065,295.2,17,5
47.349860539361046,16.649860324379016,250.6,17,6
47.349860539361046,16.74986032397896,203.2,17,7
47.349860539361046,16.849860323578913,163.2,17,8
47.349860539361046,16.949860323178864,146.8,17,9
47.349860539361046,17.04986032277881,152.6,17,10
47.349860539361046,17.14986032237876,148.8,17,11
47.349860539361046,17.249860321978705,133.8,17,12
47.349860539361046,17.349860321578657,124.2,17,13
47.349860539361046,17.4498603211786,135.8,17,14
47.349860539361046,17.549860320778553,163.2,17,15
47.349860539361046,17.649860320378504,221.6,17,16
47.349860539361046,17.74986031997845,332.0,17,17
47.349860539361046,17.8498603195784,352.2,17,18
47.349860539361046,17.949860319178345,309.4,17,19
47.349860539361046,18.049860318778297,246.6,17,20
47.349860539361046,18.14986031837824,220.2,17,21
47.349860539361046,18.249860317978193,232.0,17,22
47.349860539361046,18.349860317578145,234.2,17,23
47.349860539361046,18.44986031717809,164.6,17,24
47.349860539361046,18.54986031677804,182.6,17,25
47.349860539361046,18.649860316377985,160.2,17,26
47.349860539361046,18.749860315977937,133.6,17,27
47.349860539361046,18.84986031557789,137.8,17,28
47.349860539361046,18.949860315177833,100.2,17,29
47.349860539361046,19.049860314777785,99.6,17,30
47.349860539361046,19.14986031437773,104.6,17,31
47.349860539361046,19.24986031397768,112.4,17,32
47.349860539361046,19.349860313577626,119.0,17,33
47.349860539361046,19.449860313177577,157.8,17,34
47.349860539361046,19.54986031277753,163.6,17,35
47.349860539361046,19.649860312377474,157.0,17,36
47.349860539361046,19.749860311977425,109.6,17,37
47.349860539361046,19.84986031157737,97.4,17,38
47.349860539361046,19.94986031117732,92.0,17,39
47.349860539361046,20.049860310777266,85.0,17,40
47.349860539361046,20.149860310377218,83.2,17,41
47.349860539361046,20.24986030997717,82.4,17,42
47.349860539361046,20.349860309577114,82.6,17,43
47.349860539361046,20.449860309177065,82.8,17,44
47.349860539361046,20.54986030877701,83.4,17,45
47.349860539361046,20.64986030837696,83.4,17,46
47.349860539361046,20.749860307976906,83.6,17,47
47.349860539361046,20.849860307576858,85.0,17,48
47.349860539361046,20.94986030717681,83.6,17,49
47.349860539361046,21.049860306776754,83.0,17,50
47.349860539361046,21.149860306376706,84.4,17,51
47.349860539361046,21.24986030597665,85.4,17,52
47.349860539361046,21.349860305576602,86.2,17,53
47.349860539361046,21.449860305176554,89.0,17,54
47.349860539361046,21.549860304776498,94.2,17,55
47.349860539361046,21.64986030437645,96.2,17,56
47.349860539361046,21.749860303976394,98.2,17,57
47.349860539361046,21.849860303576346,109.4,17,58
47.4498605390437,16.74986032397896,189.8,18,7
47.4498605390437,16.849860323578913,167.0,18,8
47.4498605390437,16.949860323178864,146.0,18,9
47.4498605390437,17.04986032277881,133.4,18,10
47.4498605390437,17.14986032237876,129.4,18,11
47.4498605390437,17.249860321978705,124.8,18,12
47.4498605390437,17.349860321578657,118.2,18,13
47.4498605390437,17.4498603211786,124.8,18,14
47.4498605390437,17.549860320778553,143.0,18,15
47.4498605390437,17.649860320378504,169.6,18,16
47.4498605390437,17.74986031997845,195.4,18,17
